match_id,played_on,p_a,actual_a,log_loss,brier,correct,team_a_mu_avg,team_a_sigma_avg,team_b_mu_avg,team_b_sigma_avg
11608,2025-07-02,0.9180440646704958,1,0.08550988878325719,0.006716775335733872,1,36.16692098141799,4.745732049600953,28.59100754385983,4.272557198235092
11609,2025-07-02,0.6775122385962568,1,0.389327662042721,0.10399835625519763,1,26.121252575668343,7.153628178319351,22.939656011281777,5.099052269141399
11611,2025-07-02,0.9753149332858659,1,0.024994851641979912,0.0006093525186812495,1,25.976980343774404,4.923714456217602,15.22272328527847,4.261328026937558
11612,2025-07-02,0.8925512693249484,1,0.11367132235643104,0.011545229723679766,1,29.222128193505906,4.188763961286959,22.465762138442322,4.923907512010572
11613,2025-07-02,0.0672440160529049,0,0.06961165151994722,0.004521757694923333,1,17.641961836545352,5.0373290470720296,26.759612560250996,5.521744085083312
11614,2025-07-02,0.08357013947647515,0,0.08726974433793536,0.00698396821211751,1,26.39126241128045,4.359174867335031,33.618690194338356,4.259223846302378
10784,2025-07-11,0.8299996233357452,1,0.18633003200395162,0.028900128065988517,1,33.969157430997306,4.226562740130324,28.682102656353813,5.10584769190727
10785,2025-07-11,0.00022818401688879677,0,0.00022821005482266113,5.2067945563506687e-08,1,21.962473008458737,4.866823463806526,42.11198543516615,4.982184194643905
10786,2025-07-11,0.7032778623329767,0,1.2149591415027325,0.49459975164764136,0,27.22986964772243,5.462505961482849,24.059502377061676,4.729529996877625
10787,2025-07-11,0.024852916040776236,0,0.02516696401901925,0.0006176674357298728,1,19.704827066802025,4.357520259424289,30.337631006396784,4.707272506806768
10788,2025-07-11,0.01387123375955433,0,0.013968338341882894,0.00019241112601219972,1,24.656731643391748,5.676249405843287,37.179069054565815,3.890534536146869
10789,2025-07-11,0.9968564025258998,1,0.003148548956340816,9.882205079169166e-06,1,30.459590718672885,4.341825735353067,15.77035265579429,4.640508628575184
10790,2025-07-11,0.11523572301348094,0,0.12243402314020009,0.0132792718584397,1,12.039003369092779,7.399086040193626,21.523787213608916,7.145389906969275
11617,2025-07-11,0.8776252370465127,1,0.13053561354476034,0.014975582607922198,1,34.42030739629235,4.193223123947032,28.02785720840299,5.035128044727402
11618,2025-07-11,0.00020739359467568041,0,0.0002074151037011948,4.301210311250041e-08,1,21.901915238571682,4.859950571677814,42.1751162963523,4.974695240737525
11619,2025-07-11,0.5236175111076047,0,0.7415341993293753,0.2741752979385225,0,25.604862312099232,5.366622934448491,25.25709468666267,4.67928963979811
11620,2025-07-11,0.019820202046524505,0,0.020019256846121363,0.0003928404091650542,1,19.48692262786055,4.335929620481574,30.590031781057316,4.678274218361802
11621,2025-07-11,0.011185662604233607,0,0.011248692590378634,0.00012511904789575014,1,24.374297412333604,5.631889121326246,37.31181513385418,3.8815155312640908
11622,2025-07-11,0.9972879275979409,1,0.002715756733372627,7.355336714010413e-06,1,30.566938488071898,4.330937655054868,15.647815582842199,4.626037602048642
11623,2025-07-11,0.0785204603467404,0,0.08177470542503983,0.0061654626930640315,1,11.22926515963996,7.300220020020648,22.292125656745675,7.054263576347733
11909,2025-07-15,0.16602463854435695,1,1.7956190766734836,0.6955149035150706,0,26.261170155106026,5.924478595484178,32.2035542620971,4.171532663024582
11910,2025-07-15,0.4875815074762075,0,0.6686136195955791,0.23773572643277097,1,20.514658405224978,7.196972830753801,20.75522637580145,6.835079016468304
11911,2025-07-15,0.3907248077434731,0,0.49548523771080394,0.15266587538617404,1,30.349587283493168,6.095110600970266,32.32956273576695,6.719675632779397
11912,2025-07-15,0.9841391769129065,0,4.143903167079577,0.9685299195348132,0,31.19182515222518,7.649487109165775,15.253516385491338,5.730296434597121
11917,2025-07-15,0.3182715661161134,1,1.1448502791394815,0.46475365756577675,0,26.833536557725004,5.871687084084332,30.085875496391996,6.202668786594373
11919,2025-07-15,0.6733891734376181,1,0.39543184984562135,0.10667463202776234,1,27.917613019441227,5.098321558268628,25.28543229783684,4.903528122117445
11920,2025-07-15,0.49596326304547894,1,0.7012534214408305,0.2540530321997611,0,38.14335545325333,4.374333662527803,38.20043519063592,5.024902905399132
11914,2025-07-17,0.7882064570574558,1,0.23799522209866666,0.044856504832155294,1,27.624347291761104,4.063866686095575,23.108744818313554,5.401141345659143
